UIC,Zeitstempel,Achsposition im Fahrzeug,Bremssohle links,Bremssohle rechts
378479313207,2020-04-03 13:44:31.934 +02:00,1,47,
378479313207,2020-04-03 13:44:31.934 +02:00,2,,49
378479313207,2020-04-03 13:44:31.934 +02:00,3,45,
378479313207,2020-04-03 13:44:31.934 +02:00,4,,41
378478419682,2020-04-02 15:16:32.326 +02:00,1,,50
378478419682,2020-04-02 15:16:32.326 +02:00,2,47,
378478419682,2020-04-02 15:16:32.326 +02:00,3,40,
378478419682,2020-04-02 15:16:32.326 +02:00,4,33,
338079323311,2020-04-03 13:44:31.934 +02:00,1,,54
338079323311,2020-04-03 13:44:31.934 +02:00,2,55,
338079323311,2020-04-03 13:44:31.934 +02:00,3,56,48
338079323311,2020-04-03 13:44:31.934 +02:00,4,55,56
